date,AXON,CEG,EVO,FIVE,HWM,MBLY,NFE,NVDA,NYCB,PLTR,QXO,SEDG,SGML,TBIL,TDOC,TPL,TRGP,UAL,VST,WOLF,SP500,AMZN,INTC,JNJ,JPM,KO,META,NFLX,PG,TSLA,XOM
2023-12-13,"248,06","115,6272","10,09000015","201,5399933","54,0448761","41,08000183","35,84877777","48,07437515","31,28863907","17,87","66,04779816","82,61000061","28,02000046","0,0524","20,12","514,2886963","82,97421265","41,58000183","37,5872","40,33000183","4707,089844","145,2400055","46,27030945","157,4385376","169,2897491","57,90158463","350,6106873","474,0599976","143,8390656","237,4900055","100,0601273"
2023-12-14,"253,1199951","114,8029","11,32999992","200,9799957","52,61923218","42,29999924","37,36296463","48,33629608","33,44545746","18,20999908","56,38389587","96,31999969","26,93000031","0,0523","21,25","523,9381104","84,37259674","43,59000015","36,96598053","44,25","4719,549805","149,1000061","47,8096962","157,829361","169,0440674","58,32855225","357,295166","485,0299988","145,0782166","240,4499969","98,39295197"
2023-12-15,"255,9799957","117,9312","11,02000046","194,3600006","52,63916779","41,95999908","37,01883316","48,87614059","32,3818","18,20000076","57,3169632","97,12000275","26,64999962","0,0524","20,52000046","521,7429","83,52184296","43,58000183","37,15332413","43,31999969","4719,189941","151,3699951","47,41497803","157,9270782","167,7075958","58,22180939","356,0698242","482,0899963","145,6734009","234,9600067","97,17424774"
2023-12-18,"255,6900024","118,5369797","11,19","190,6000061","53,0279808","41,49","36,60586929","50,06280518","31,1409111","17,84000015","64,71485138","93,48","29,47999954","0,0526","20,39999962","523,4220581","84,07923889","42,33000183","37,23220062","43,33000183","4740,560059","153,7299957","46,84264755","158,1615753","168,0613861","58,41588974","369,0602417","478,3299866","146,2978516","233,9400024","96,21878815"
2023-12-19,"255,9199982","119,9769745","11,32999992","197,9700012","53,4866","42,22000122","36,39939499","49,58993912","31,20000267","17,95000076","63,84843063","102,2399979","30,37","0,0523","21,57999992","531,5884","84,36282349","42,41999817","37,40375137","44,88999939","4768,370117","155,1799927","47,01039505","157,4580536","167,3538208","58,03744125","368,2632751","492,230011","146,8540039","227,2200012","96,19928741"
2023-12-20,"252,7700043","116,203186","11,31","195,0299988","52,55941772","42,15000153","35,40632248","48,09736252","30,0182","17,25","67,9139328","94,85","31,67000008","0,0524","20,5","527,119751","83,88365936","41,18000031","37,29467392","41,90999985","4698,350098","154,6199951","46,49726486","158,6696625","166,1254578","58,60025406","373,0649109","492,1600037","146,9418182","218,8899994","97,44723511"
2023-12-21,"256,8399963","117,4942169","11,64000034","199,1000061","53,30713272","42,90999985","36,42889023","48,97611618","29,72272873","17,59000015","76,5781","97,08000183","33,20000076","0,0522","21,28000069","528,5342","85,18425751","42,58000183","37,47316742","44,88000107","4746,75","153,1600037","46,43806839","156,8424988","165,083786","58,21210861","366,061676","481,2399902","146,1514893","219,9100037","95,24383545"
2023-12-22,"259,0299988","114,5347672","11,57999992","202,6999969","53,40682602","42,95000076","37,10732269","48,8162","29,78181839","17,40999985","72,44597626","96,02999878","32,79000092","0,0524","21,5","527,80896","84,79309845","42,54999924","37,70123672","44,43000031","4754,629883","151,7100067","45,45127869","156,7545624","164,1993561","58,21210861","366,9682007","480,3299866","146,2978516","215,5500031","94,55161285"
2023-12-26,"258,1099854","116,7593231","11,69999981","210,3600006","53,6760025","43,84999847","38,37569427","49,26502991","30,43181992","17,68000031","79,0441","96,95999908","33,09500122","0,0525","21,85000038","535,227356","85,6145","42,08000183","37,87973022","46,84000015","4774,75","153,5","46,12229156","157,5167084","164,5236511","58,37706757","374,6986694","485,3099976","145,4544373","211,8800049","94,37612152"
2023-12-27,"259,0799866","116,6103592","11,89000034","212,6999969","53,88536072","43,97000122","37,95290375","49,40299225","30,19545555","17,46999931","86,97515869","96,43000031","32,11000061","0,0524","22,06999969","534,7439","85,1354","41,72999954","38,05822372","46,51","4781,580078","155,3399963","47,51365662","157,9759369","167,3636475","58,05685425","381,9908142","482,9500122","144,8947754","212,1900024","94,52235413"
